Column Name,Description
review_date,"The date when the review was written, in datetime format."
movie_id,"Unique identifier for each movie. This is used to join data between reviews and movie details."
user_id,"Identifier for the user who wrote the review."
is_spoiler,"A flag indicating whether the review contains spoilers (e.g., 1 for spoilers, 0 for non-spoilers)."
review_text,"The actual text content of the review written by the user."
rating_x,"The rating given to the movie in the review (likely on a scale like 1-10 or 1-5)."
review_summary,"A brief summary or title of the review."
word_count,"The total number of words in the review text."
avg_word_length,"The average length of words in the review text."
num_sentences,"The number of sentences in the review text."
compound_sentiment_score,"Sentiment score of the review text, where the score is a float in the range [-1, 1] indicating sentiment polarity (positive, neutral, or negative)."
has_romance,"A binary flag indicating if the review text contains the keyword ""romance"" (1 if present, 0 if not)."
has_action,"A binary flag indicating if the review text contains the keyword ""action"" (1 if present, 0 if not)."
has_comedy,"A binary flag indicating if the review text contains the keyword ""comedy"" (1 if present, 0 if not)."
has_thriller,"A binary flag indicating if the review text contains the keyword ""thriller"" (1 if present, 0 if not)."
has_drama,"A binary flag indicating if the review text contains the keyword ""drama"" (1 if present, 0 if not)."
has_horror,"A binary flag indicating if the review text contains the keyword ""horror"" (1 if present, 0 if not)."
has_sci-fi,"A binary flag indicating if the review text contains the keyword ""sci-fi"" (1 if present, 0 if not)."
has_fantasy,"A binary flag indicating if the review text contains the keyword ""fantasy"" (1 if present, 0 if not)."
has_romantic,"A binary flag indicating if the review text contains the keyword ""romantic"" (1 if present, 0 if not)."
has_violence,"A binary flag indicating if the review text contains the keyword ""violence"" (1 if present, 0 if not)."
review_year,"The year in which the review was written."
review_month,"The month in which the review was written."
review_day,"The day of the month on which the review was written."
plot_summary,"A summary of the movie's plot."
duration,"Duration of the movie in the original format (e.g., '2h 30min')."
genre,"Genre of the movie (e.g., Action, Comedy)."
rating_y,"The movie rating provided by another source or in a different format (this might be the same as rating_x or from a different source)."
release_date,"The release date of the movie."
plot_synopsis,"A detailed synopsis or description of the movie's plot."
duration_minutes,"Duration of the movie converted to minutes."
rating_mean,"The mean rating of the movie based on multiple reviews."
rating_median,"The median rating of the movie based on multiple reviews."
rating_std,"The standard deviation of the movie ratings based on multiple reviews."
svd_0,"Features derived from the TF-IDF matrix using Truncated Singular Value Decomposition (SVD) for dimensionality reduction. Each column represents one of the 100 components of the SVD transformation, capturing the latent semantic structure of the review text."
svd_1,"Features derived from the TF-IDF matrix using Truncated Singular Value Decomposition (SVD) for dimensionality reduction. Each column represents one of the 100 components of the SVD transformation, capturing the latent semantic structure of the review text."
svd_2,"Features derived from the TF-IDF matrix using Truncated Singular Value Decomposition (SVD) for dimensionality reduction. Each column represents one of the 100 components of the SVD transformation, capturing the latent semantic structure of the review text."
svd_3,"Features derived from the TF-IDF matrix using Truncated Singular Value Decomposition (SVD) for dimensionality reduction. Each column represents one of the 100 components of the SVD transformation, capturing the latent semantic structure of the review text."
...,...
svd_99,"Features derived from the TF-IDF matrix using Truncated Singular Value Decomposition (SVD) for dimensionality reduction. Each column represents one of the 100 components of the SVD transformation, capturing the latent semantic structure of the review text."
